"Thermal diffusivity and thermal conductivity of Chromel, Alumel, and Constantan in the range 100–450 K",B. Sundqvist,Journal of Applied Physics 1992
T(K),k(W/m/K),k/T
1.00E+02,1.91E+01,1.91E-01
1.25E+02,1.84E+01,1.47E-01
1.50E+02,1.85E+01,1.23E-01
1.75E+02,1.89E+01,1.08E-01
2.00E+02,1.95E+01,9.75E-02
2.25E+02,2.02E+01,8.98E-02
2.50E+02,2.10E+01,8.40E-02
2.75E+02,2.19E+01,7.96E-02
3.00E+02,2.27E+01,7.57E-02
3.25E+02,2.36E+01,7.26E-02
3.50E+02,2.45E+01,7.00E-02
3.75E+02,2.55E+01,6.80E-02
4.00E+02,2.66E+01,6.65E-02
4.25E+02,2.77E+01,6.52E-02
4.50E+02,2.88E+01,6.40E-02