"Thermal Conductivity of a Polymide Film Between 4.2 and 300K, with and without Alumina Particles as Filler",D. L. Rule-- D. R. Smith-- L. L. Sparks,NISTIR 3948 1990
T(K),k(W/m/K),k/T
4.64E+00,1.10E-02,2.37E-03
8.37E+00,1.90E-02,2.27E-03
2.25E+01,5.30E-02,2.36E-03
8.04E+01,1.28E-01,1.59E-03
8.48E+01,1.32E-01,1.56E-03
9.36E+01,1.37E-01,1.46E-03
1.11E+02,1.47E-01,1.32E-03
1.97E+02,1.80E-01,9.15E-04
2.11E+02,1.88E-01,8.91E-04
2.74E+02,1.91E-01,6.96E-04
2.78E+02,1.92E-01,6.91E-04
2.92E+02,1.95E-01,6.68E-04
3.07E+02,1.98E-01,6.46E-04