The Thermal Conductivity of Manganin Wire and Stycast 2850 GT between 1K and 4K,D. T. Corzett-- A. M. Keller-- P. Seligmann,Cryogenics 1976
T(K),k(W/m/K),k/T
9.61E-01,1.36E-01,1.42E-01
1.13E+00,8.11E-02,7.17E-02
1.16E+00,9.18E-02,7.91E-02
1.30E+00,8.20E-02,6.31E-02
1.71E+00,1.87E-01,1.10E-01
1.73E+00,1.72E-01,9.97E-02
1.78E+00,1.79E-01,1.01E-01
1.86E+00,1.85E-01,9.96E-02
1.92E+00,2.07E-01,1.08E-01
2.08E+00,2.15E-01,1.03E-01
2.64E+00,2.41E-01,9.15E-02
2.98E+00,3.05E-01,1.02E-01
3.00E+00,3.28E-01,1.09E-01
3.21E+00,2.66E-01,8.27E-02
3.66E+00,4.13E-01,1.13E-01
3.99E+00,4.02E-01,1.01E-01
4.17E+00,5.18E-01,1.24E-01