A simple method for measuring the low temperature thermal conductivity in thin wires,G. Ventura-- A. Bonetti-- E. Gottardi--  L. Lanzi-- I. Peroni-- A. Peruzzi-- G. Ponti,Cryogenics Vol 38 1998
T (K),k (W/m/K),k/T
5.41E-02,2.83E-03,5.22E-02
6.91E-02,3.95E-03,5.72E-02
8.70E-02,5.27E-03,6.06E-02
9.24E-02,5.74E-03,6.21E-02
9.86E-02,6.17E-03,6.26E-02
1.05E-01,6.51E-03,6.22E-02
1.33E-01,8.85E-03,6.64E-02
1.44E-01,9.75E-03,6.79E-02
1.67E-01,1.12E-02,6.72E-02
1.78E-01,1.21E-02,6.81E-02
2.05E-01,1.44E-02,7.01E-02