Thermal conductivity of manganin below 1 K,I. Peroni-- E. Gottardi-- A. Peruzzi-- G. Ponti-- G. Ventura ,Nuclear Physics B 1999
T (K),k (W/m/K),k/T
1.23E-05,6.12E-07,4.99E-02
3.08E-05,1.09E-06,3.55E-02
8.74E-05,4.34E-06,4.96E-02
2.50E-04,1.07E-05,4.28E-02
1.89E-02,5.17E-04,2.74E-02
1.06E-02,3.25E-04,3.06E-02
3.86E-03,1.23E-04,3.18E-02
2.23E-03,7.32E-05,3.28E-02
1.35E-03,4.94E-05,3.65E-02
8.88E-04,3.51E-05,3.95E-02
5.83E-04,2.09E-05,3.58E-02
2.57E-02,7.12E-04,2.77E-02
3.73E-02,9.46E-04,2.54E-02
5.11E-02,1.32E-03,2.59E-02
6.82E-02,1.98E-03,2.90E-02
8.39E-02,2.37E-03,2.83E-02
1.13E-01,3.58E-03,3.16E-02
1.60E-01,5.01E-03,3.12E-02
2.31E-01,7.68E-03,3.33E-02
3.29E-01,1.08E-02,3.29E-02
4.01E-01,1.47E-02,3.66E-02
4.69E-01,1.98E-02,4.23E-02
5.46E-01,2.16E-02,3.96E-02
6.33E-01,3.22E-02,5.09E-02
8.23E-01,3.92E-02,4.76E-02
1.10E+00,6.30E-02,5.71E-02